ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [61/800] f104_crm_eval_group_0060 B z -13.575 (pess -13.179) -> G z -13.597 (pess -13.570) gain 0.391 from round0/sample step 56 | valid 17/17 | 2.57s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [62/800] f104_crm_eval_group_0061 B z -13.379 (pess -12.826) -> G z -13.567 (pess -13.439) gain 0.613 from B/sample step 7 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [63/800] f104_crm_eval_group_0062 B z -13.613 (pess -13.409) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [64/800] f104_crm_eval_group_0063 B z -13.046 (pess -12.154) -> G z -13.438 (pess -13.219) gain 1.065 from B/sample step 58 | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [65/800] f104_crm_eval_group_0064 B z -13.398 (pess -13.007) -> G z -13.506 (pess -13.411) gain 0.404 from round0/sample step 60 | valid 17/17 | 2.57s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [66/800] f104_crm_eval_group_0065 B z -13.357 (pess -13.198) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [67/800] f104_crm_eval_group_0066 B z -13.661 (pess -13.457) -> G abstain | valid 17/17 | 2.61s (cem 0.36 refine 2.18 [60 steps] finals 0.06)
  [68/800] f104_crm_eval_group_0067 B z -12.962 (pess -11.805) -> G z -13.387 (pess -13.152) gain 1.346 from B/sample step 21 | valid 17/17 | 2.60s (cem 0.35 refine 2.19 [60 steps] finals 0.05)
  [69/800] f104_crm_eval_group_0068 B z -13.624 (pess -13.594) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [70/800] f104_crm_eval_group_0069 B z -13.578 (pess -13.450) -> G abstain | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [71/800] f104_crm_eval_group_0070 B z -13.340 (pess -12.762) -> G z -13.324 (pess -13.300) gain 0.538 from round0/anchor step 16 | valid 17/17 | 2.61s (cem 0.35 refine 2.20 [60 steps] finals 0.05)
