ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [58/800] f104_crm_eval_group_0057 B z -8.249 (pess -7.923) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [59/800] f104_crm_eval_group_0058 B z -8.271 (pess -7.950) -> G abstain | valid 17/17 | 3.51s (cem 0.37 refine 3.08 [60 steps] finals 0.05)
  [60/800] f104_crm_eval_group_0059 B z -8.193 (pess -7.958) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [61/800] f104_crm_eval_group_0060 B z -8.284 (pess -7.942) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [62/800] f104_crm_eval_group_0061 B z -8.164 (pess -7.874) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [63/800] f104_crm_eval_group_0062 B z -8.246 (pess -7.893) -> G abstain | valid 17/17 | 3.40s (cem 0.38 refine 2.96 [60 steps] finals 0.05)
  [64/800] f104_crm_eval_group_0063 B z -8.118 (pess -7.682) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [65/800] f104_crm_eval_group_0064 B z -8.092 (pess -7.800) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [66/800] f104_crm_eval_group_0065 B z -7.730 (pess -7.468) -> G z -8.067 (pess -7.861) gain 0.393 from round0/sample step 60 | valid 17/17 | 3.37s (cem 0.35 refine 2.95 [60 steps] finals 0.05)
  [67/800] f104_crm_eval_group_0066 B z -8.164 (pess -7.884) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [68/800] f104_crm_eval_group_0067 B z -8.160 (pess -7.809) -> G abstain | valid 17/17 | 3.38s (cem 0.35 refine 2.97 [60 steps] finals 0.05)
  [69/800] f104_crm_eval_group_0068 B z -8.250 (pess -7.920) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [70/800] f104_crm_eval_group_0069 B z -8.250 (pess -7.947) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [71/800] f104_crm_eval_group_0070 B z -8.266 (pess -7.942) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [72/800] f104_crm_eval_group_0071 B z -8.229 (pess -7.915) -> G abstain | valid 17/17 | 3.42s (cem 0.38 refine 2.97 [60 steps] finals 0.05)
