ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [78/800] f104_crm_eval_group_0077 B z -12.124 (pess -8.843) -> G z -12.894 (pess -12.663) gain 3.822 from round0/anchor step 27 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [79/800] f104_crm_eval_group_0078 B z -12.376 (pess -11.770) -> G z -12.775 (pess -12.464) gain 0.694 from B/sample step 27 | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.06)
  [80/800] f104_crm_eval_group_0079 B z -13.066 (pess -12.347) -> G z -13.250 (pess -12.911) gain 0.564 from B/sample step 14 | valid 17/17 | 2.58s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [81/800] f104_crm_eval_group_0080 B z -13.290 (pess -13.042) -> G abstain | valid 17/17 | 2.55s (cem 0.34 refine 2.14 [60 steps] finals 0.05)
  [82/800] f104_crm_eval_group_0081 B z -13.530 (pess -13.412) -> G abstain | valid 17/17 | 2.61s (cem 0.36 refine 2.19 [60 steps] finals 0.05)
  [83/800] f104_crm_eval_group_0082 B z -9.807 (pess -8.485) -> G z -11.076 (pess -10.272) gain 1.788 from round0/sample step 48 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [84/800] f104_crm_eval_group_0083 B z -2.525 (pess 0.726) -> G z -5.204 (pess -3.370) gain 4.097 from round0/sample step 44 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [85/800] f104_crm_eval_group_0084 B z -7.274 (pess -2.429) -> G z -9.193 (pess -8.680) gain 6.247 from B/sample step 17 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [86/800] f104_crm_eval_group_0085 B z -10.831 (pess -9.745) -> G z -12.554 (pess -12.189) gain 2.445 from round0/anchor step 37 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [87/800] f104_crm_eval_group_0086 B z -12.344 (pess -11.404) -> G z -12.594 (pess -12.261) gain 0.856 from round0/sample step 42 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [88/800] f104_crm_eval_group_0087 B z -11.521 (pess -9.831) -> G z -12.086 (pess -11.519) gain 1.687 from B/mean step 22 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [89/800] f104_crm_eval_group_0088 B z -12.649 (pess -11.352) -> G z -13.332 (pess -13.040) gain 1.688 from round0/anchor step 60 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [90/800] f104_crm_eval_group_0089 B z -12.301 (pess -11.387) -> G z -12.700 (pess -11.985) gain 0.598 from round0/sample step 60 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [91/800] f104_crm_eval_group_0090 B z -12.729 (pess -11.969) -> G z -13.024 (pess -12.645) gain 0.675 from B/sample step 24 | valid 17/17 | 2.55s (cem 0.35 refine 2.13 [60 steps] finals 0.06)
  [92/800] f104_crm_eval_group_0091 B z -10.160 (pess -6.058) -> G z -10.654 (pess -9.571) gain 3.513 from round0/anchor step 21 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
