ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [115/800] f104_crm_eval_group_0114 B z -7.889 (pess -7.321) -> G z -8.080 (pess -7.667) gain 0.346 from round0/anchor step 59 | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [116/800] f104_crm_eval_group_0115 B z -7.918 (pess -7.679) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [117/800] f104_crm_eval_group_0116 B z -8.102 (pess -7.860) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [118/800] f104_crm_eval_group_0117 B z -8.219 (pess -7.884) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [119/800] f104_crm_eval_group_0118 B z -8.076 (pess -7.633) -> G abstain | valid 17/17 | 3.39s (cem 0.38 refine 2.94 [60 steps] finals 0.05)
  [120/800] f104_crm_eval_group_0119 B z -8.145 (pess -7.868) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [121/800] f104_crm_eval_group_0120 B z -8.243 (pess -7.866) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [122/800] f104_crm_eval_group_0121 B z -8.074 (pess -7.563) -> G abstain | valid 17/17 | 3.14s (cem 0.36 refine 2.72 [60 steps] finals 0.05)
  [123/800] f104_crm_eval_group_0122 B z -8.093 (pess -7.893) -> G abstain | valid 17/17 | 3.38s (cem 0.38 refine 2.94 [60 steps] finals 0.05)
  [124/800] f104_crm_eval_group_0123 B z -7.905 (pess -6.973) -> G z -8.022 (pess -7.586) gain 0.611 from B/sample step 26 | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [125/800] f104_crm_eval_group_0124 B z -6.682 (pess -5.498) -> G z -7.784 (pess -7.088) gain 1.590 from B/sample step 48 | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [126/800] f104_crm_eval_group_0125 B z -6.544 (pess -5.901) -> G z -7.839 (pess -7.455) gain 1.555 from round0/sample step 43 | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [127/800] f104_crm_eval_group_0126 B z -8.102 (pess -7.886) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [128/800] f104_crm_eval_group_0127 B z -8.220 (pess -7.896) -> G abstain | valid 17/17 | 3.30s (cem 0.37 refine 2.87 [60 steps] finals 0.05)
  [129/800] f104_crm_eval_group_0128 B z -8.257 (pess -7.929) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [130/800] f104_crm_eval_group_0129 B z -8.217 (pess -7.899) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [131/800] f104_crm_eval_group_0130 B z -8.213 (pess -7.928) -> G abstain | valid 17/17 | 3.42s (cem 0.36 refine 3.00 [60 steps] finals 0.05)
  [132/800] f104_crm_eval_group_0131 B z -8.271 (pess -7.913) -> G abstain | valid 17/17 | 3.38s (cem 0.39 refine 2.92 [60 steps] finals 0.05)
  [133/800] f104_crm_eval_group_0132 B z -8.233 (pess -7.912) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [134/800] f104_crm_eval_group_0133 B z -7.460 (pess -6.501) -> G z -7.937 (pess -7.583) gain 1.086 from B/sample step 59 | valid 17/17 | 3.41s (cem 0.38 refine 2.98 [60 steps] finals 0.05)
  [135/800] f104_crm_eval_group_0134 B z -8.121 (pess -7.686) -> G abstain | valid 17/17 | 3.40s (cem 0.38 refine 2.95 [60 steps] finals 0.05)
  [136/800] f104_crm_eval_group_0135 B z -7.109 (pess -6.869) -> G z -7.830 (pess -7.555) gain 0.686 from round0/anchor step 60 | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [137/800] f104_crm_eval_group_0136 B z -8.211 (pess -7.921) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [138/800] f104_crm_eval_group_0137 B z -4.249 (pess -1.049) -> G z -7.475 (pess -6.925) gain 5.876 from B/sample step 60 | valid 17/17 | 3.42s (cem 0.37 refine 2.99 [60 steps] finals 0.05)
  [139/800] f104_crm_eval_group_0138 B z -8.138 (pess -7.643) -> G abstain | valid 17/17 | 3.47s (cem 0.41 refine 3.00 [60 steps] finals 0.05)
  [140/800] f104_crm_eval_group_0139 B z -8.303 (pess -7.902) -> G abstain | valid 17/17 | 3.31s (cem 0.37 refine 2.88 [60 steps] finals 0.05)
  [141/800] f104_crm_eval_group_0140 B z -8.279 (pess -7.923) -> G abstain | valid 17/17 | 3.70s (cem 0.41 refine 3.23 [60 steps] finals 0.05)
  [142/800] f104_crm_eval_group_0141 B z -7.891 (pess -7.657) -> G abstain | valid 17/17 | 3.86s (cem 0.39 refine 3.41 [60 steps] finals 0.05)
  [143/800] f104_crm_eval_group_0142 B z -8.122 (pess -7.791) -> G abstain | valid 17/17 | 3.58s (cem 0.40 refine 3.12 [60 steps] finals 0.06)
  [144/800] f104_crm_eval_group_0143 B z -7.811 (pess -7.269) -> G z -8.023 (pess -7.618) gain 0.350 from B/sample step 60 | valid 17/17 | 3.43s (cem 0.38 refine 2.98 [60 steps] finals 0.05)
  [145/800] f104_crm_eval_group_0144 B z -7.668 (pess -7.302) -> G z -8.029 (pess -7.713) gain 0.410 from B/sample step 60 | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [146/800] f104_crm_eval_group_0145 B z -8.132 (pess -7.859) -> G abstain | valid 17/17 | 3.42s (cem 0.38 refine 2.97 [60 steps] finals 0.05)
  [147/800] f104_crm_eval_group_0146 B z -8.181 (pess -7.881) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [148/800] f104_crm_eval_group_0147 B z -7.601 (pess -7.314) -> G z -7.964 (pess -7.622) gain 0.307 from B/sample step 60 | valid 17/17 | 3.42s (cem 0.37 refine 2.99 [60 steps] finals 0.05)
  [149/800] f104_crm_eval_group_0148 B z -7.889 (pess -7.603) -> G abstain | valid 17/17 | 3.50s (cem 0.38 refine 3.06 [60 steps] finals 0.05)
  [150/800] f104_crm_eval_group_0149 B z -8.228 (pess -7.905) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [151/800] f104_crm_eval_group_0150 B z -8.277 (pess -7.943) -> G abstain | valid 17/17 | 3.41s (cem 0.35 refine 2.99 [60 steps] finals 0.05)
  [152/800] f104_crm_eval_group_0151 B z -8.135 (pess -7.806) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [153/800] f104_crm_eval_group_0152 B z -8.252 (pess -7.941) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
