trial_id,role,family_index,offset_m,cruise_mps,allowed_by_predicted_risk,cost,unfiltered_cost,estimated_time_to_goal_s,predicted_horizon_work_kj,estimated_route_work_kj,energy_cost_s,contact_probability,low_progress_probability,rollover_probability,predicted_peak_roll_deg,predicted_peak_pitch_deg,attitude_cost_s,predicted_goal_progress_m,contact_cost_s,bounded_cost_s,rollover_cost_s,progress_cost_s,prior_fixed_reference,prior_safe_goal,reference_arrays_exact,reference_waypoint_max_abs_difference_m,prior_outcome_is_same_policy_counterfactual
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,13,44.0,2.0,True,124.83161463594458,124.83161463594458,125.92045254756991,157.30075073242188,1650.6151431915875,0.0,0.012216473929584026,0.005368508398532867,2.2543725208379328e-05,8.374239921569824,5.181962966918945,0.0,21.46642079827319,0.7329884357750416,0.32211050391197205,0.0027052470250055194,-2.1466420798273194,family_12,True,False,0.0047083563606697965,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,14,44.0,4.0,True,68.55923585599926,68.55923585599926,69.8537379482074,170.73243713378906,993.8582435668743,0.0,0.033943623304367065,0.008792197331786156,9.125377255259082e-05,8.174322128295898,4.328824043273926,0.0,38.69601686167883,2.036617398262024,0.5275318399071693,0.010950452706310898,-3.869601686167883,family_13,True,False,0.0047083563606697965,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,15,44.0,6.0,True,49.349798769401126,49.349798769401126,49.74411775001943,197.9618682861328,820.6198738366023,0.0,0.0697721466422081,0.013386089354753494,0.00041765443165786564,8.478894233703613,4.708717346191406,0.0,54.33931776775901,4.186328798532486,0.8031653612852097,0.05011853179894388,-5.433931776775902,family_14,True,False,0.0047083563606697965,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,final_refined,,,,True,59.6273994090072,59.6273994090072,42.96104264895048,197.7414093017578,707.9314265396993,14.158628530793985,0.1277080923318863,0.017174866050481796,0.0008886699215508997,8.509279251098633,4.495145320892334,0.0,62.91889709434605,7.6624855399131775,1.0304919630289078,0.10664039058610797,-6.291889709434606,family_02,False,False,0.6816194554305266,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,0,0.0,2.0,True,146.72446590015574,146.72446590015574,119.24711885577909,143.21815490722656,1423.1960283772858,28.463920567545717,0.016404494643211365,0.004860793240368366,3.56846212525852e-05,7.362552642822266,4.8821702003479,0.0,22.667729396165015,0.9842696785926819,0.291647594422102,0.004282154550310224,-2.2667729396165015,family_00,False,True,0.0,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,1,0.0,2.0,True,146.72239984842824,146.72239984842824,119.24696314924469,143.20962524414062,1423.1094086754317,28.462188173508636,0.0164021085947752,0.004860257729887962,3.5687171475728974e-05,7.3616943359375,4.882569313049316,0.0,22.667758994516987,0.984126515686512,0.29161546379327774,0.004282460577087477,-2.266775899451699,family_00,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,2,0.0,4.0,True,80.95401233895714,80.95401233895714,63.4100636339398,170.69578552246094,901.9858851687156,18.039717703374315,0.05242667719721794,0.010120021179318428,0.00011880280362674966,8.873147964477539,3.7510228157043457,0.0,42.62827170620173,3.1456006318330765,0.6072012707591057,0.01425633643520996,-4.262827170620173,family_01,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,selected_parent,3,0.0,6.0,True,59.72557849453844,59.72557849453844,42.98273913617345,197.80453491210938,708.5150603399427,14.170301206798854,0.1284710317850113,0.017431193962693214,0.0008926525479182601,8.513846397399902,4.492390155792236,0.0,62.88713739093194,7.7082619071006775,1.0458716377615929,0.10711830575019121,-6.288713739093194,family_02,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,4,-22.0,2.0,True,148.53472932395172,148.53472932395172,119.75083403557018,149.9789581298828,1496.6754436532772,29.933508873065545,0.014128356240689754,0.004267085809260607,3.24832035403233e-05,7.374817848205566,5.205599784851074,0.0,22.572380754293732,0.8477013744413853,0.2560251485556364,0.0038979844248387963,-2.2572380754293735,family_03,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,5,-22.0,4.0,True,84.31371252993318,84.31371252993318,63.37565584227135,196.4622802734375,1037.5771550497693,20.751543100995388,0.06269479542970657,0.011155564337968826,0.00017194576503243297,6.856403350830078,4.712575435638428,0.0,42.65141536716365,3.7616877257823944,0.6693338602781296,0.020633491803891957,-4.265141536716365,family_04,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,6,-22.0,6.0,True,67.72390247022008,67.72390247022008,45.53728160075196,242.89984130859375,921.7498728706163,18.434997457412326,0.1418933868408203,0.017990581691265106,0.0007876325398683548,9.568625450134277,4.353954792022705,0.0,59.35930574851204,8.513603210449219,1.0794349014759064,0.09451590478420258,-5.935930574851205,family_05,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,7,22.0,2.0,True,150.28078483188497,150.28078483188497,121.66411438614206,145.83042907714844,1478.5275003518636,29.570550007037273,0.015833936631679535,0.005232369527220726,3.235860276618041e-05,7.686659336090088,4.876758575439453,0.0,22.2174092593651,0.9500361979007721,0.31394217163324356,0.0038830323319416493,-2.2217409259365097,family_06,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,8,22.0,4.0,True,81.45306222234835,81.45306222234835,65.16260926762126,159.29798889160156,865.0227172717755,17.30045434543551,0.042966391891241074,0.009118556044995785,0.0001090020450646989,8.615950584411621,3.944228172302246,0.0,41.48178613280692,2.5779835134744644,0.5471133626997471,0.013080245407763869,-4.148178613280692,family_07,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,9,22.0,6.0,False,,83.15625291004328,46.985778948996966,197.37518310546875,772.818893617613,15.45637787235226,0.39317238330841064,0.045726798474788666,0.001108998549170792,9.020264625549316,2.9589545726776123,0.0,57.52935211373847,23.59034299850464,2.74360790848732,0.13307982590049505,-5.752935211373847,family_08,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,10,-44.0,2.0,True,156.4093930547991,156.4093930547991,123.18704913589583,168.22171020507812,1726.894673396449,34.53789346792898,0.010784465819597244,0.0038117696531116962,2.4586091967648827e-05,7.758931636810303,5.745188236236572,0.0,21.942740251154163,0.6470679491758347,0.22870617918670177,0.002950331036117859,-2.1942740251154165,family_09,True,False,0.004682498454727124,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,11,-44.0,4.0,True,88.439561730028,88.439561730028,66.99834512397825,210.17144775390625,1173.428265985198,23.468565319703963,0.02753269486129284,0.005663628689944744,0.00012826293823309243,6.4177327156066895,6.161585807800293,0.0,40.34519683274564,1.6519616916775703,0.33981772139668465,0.015391552587971091,-4.0345196832745644,family_10,True,False,0.004682498454727124,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,sibling,12,-44.0,6.0,True,66.62965678063163,66.62965678063163,47.1208168177292,264.7664794921875,1039.6677316355351,20.793354632710702,0.06271253526210785,0.009697332978248596,0.0008945155423134565,5.88932466506958,7.016005516052246,0.0,57.3644856783998,3.762752115726471,0.5818399786949158,0.10734186507761478,-5.736448567839981,family_11,True,False,0.004682498454727124,False
